Lon,Lat,Populations
128.5314456,35.84064641,219.45
128.5436005,35.83873833,214.91
128.5292197,35.83976393,212.19
128.5392073,35.8414811,208.64
128.5403145,35.84147152,208.05
128.540338,35.84327446,207.39
128.529243,35.84156687,202.5
128.5359093,35.84331272,195.28
128.5292313,35.8406654,192.08
128.5402792,35.83876713,187.44
128.5458147,35.83871908,181.78
128.5347436,35.83881492,161.48
128.5381119,35.84239214,149.68
128.5435887,35.83783686,147.51
128.5425405,35.8423538,145.55
128.5358624,35.83970685,140.13
128.5446958,35.83782724,139.83
128.5403262,35.84237299,137.45
128.5380532,35.83788481,136.15
128.5424933,35.83874794,135.2
128.5436477,35.84234419,134.92
128.5325411,35.83973543,130.57
128.5391603,35.83787524,116.25
128.5336599,35.84062738,112.31
128.5447549,35.84233457,109.52
128.5469218,35.83870944,107.74
128.5325527,35.8406369,103.94
128.5425523,35.84325526,93.02
128.5402674,35.83786566,90.12
128.534767,35.84061785,85.26
128.5336365,35.83882445,80.48
128.5380767,35.83968774,79.48
128.5336482,35.83972592,74.12
128.529208,35.83886246,73.86
128.5358741,35.84060832,71.07
128.5458028,35.83781761,66.88
128.5291848,35.83705952,64.52
128.5436595,35.84324565,62.94
128.5281359,35.84157634,58.44
128.5291964,35.83796099,57.33
128.5469099,35.83780797,55.06
128.5447667,35.84323603,42.06
128.5281242,35.84067487,34.11
128.5280893,35.83797046,24.93
128.5347553,35.83971639,22.52
128.5281126,35.8397734,13.37
128.5280777,35.83706899,12.49
128.528101,35.83887193,6.31
128.5358273,35.83700245,1355.01
128.5369344,35.8369929,1326.11
128.5379827,35.832476,1059.94
128.5413627,35.8369546,970.15
128.5402556,35.83696419,913.25
128.5380415,35.83698334,912.8
128.5391015,35.8333679,889.83
128.5402085,35.83335832,838.15
128.5313873,35.83613907,761.75
128.53465,35.83160317,705.02
128.5302802,35.83614856,685.21
128.5424698,35.836945,628.71
128.5302919,35.83705003,556.81
128.5347202,35.83701198,538.56
128.5480052,35.83689686,522.38
128.5379945,35.83337747,499.54
128.533543,35.8316127,488.99
128.535757,35.83159363,487.09
128.5446367,35.83331991,479.36
128.5368992,35.83428849,452.86
128.5336131,35.83702151,413.27
128.5368874,35.83338703,366.66
128.5368757,35.83248556,352.22
128.5413509,35.83605314,338.8
128.5435769,35.8369354,336.67
128.531399,35.83704053,332.13
128.5413156,35.83334874,326.48
128.5324943,35.83612956,324.47
128.5446485,35.83422138,317.67
128.5369109,35.83518996,315.2
128.5369226,35.83609143,305.38
128.5479696,35.83419246,304.27
128.5391485,35.83697377,282.53
128.5380062,35.83427894,277.3
128.5468981,35.83690651,272.99
128.5336014,35.83612004,270.65
128.5457555,35.83421175,268.85
128.5313756,35.8352376,268.66
128.532506,35.83703103,249.9
128.5424226,35.83333914,245.81
128.5390897,35.83246643,240.8
128.5358155,35.83610098,238.01
128.5446249,35.83241845,219.68
128.5302569,35.83434562,213.98
128.5324827,35.83522809,213.91
128.5391132,35.83426937,213.81
128.5413274,35.8342502,211.78
128.5446839,35.83692578,205.41
128.542458,35.83604354,201.24
128.537971,35.83157453,181.77
128.5402203,35.83425979,172.47
128.5346968,35.83520905,172.3
128.5357804,35.83339657,165.85
128.5357687,35.8324951,164.65
128.5358038,35.83519951,162.5
128.5291848,35.83705952,161.63
128.5302685,35.83524709,161.6
128.5424108,35.83243767,156.19
128.5401968,35.83245686,155.41
128.5468626,35.83420211,153.22
128.5435296,35.83332953,150.94
128.5357921,35.83429804,147.69
128.5335897,35.83521857,141.72
128.5424344,35.83424061,139.3
128.536864,35.83158409,138.26
128.541292,35.8315458,133.08
128.5291731,35.83615805,129.52
128.545791,35.83691615,125.48
128.5346617,35.83250464,122.05
128.5479815,35.83509393,120.1
128.5479933,35.83599539,114.6
128.539078,35.83156497,109.71
128.5346734,35.83340611,99.59
128.5347085,35.83611051,97.47
128.5457673,35.83511322,91.3
128.5413038,35.83244727,91.19
128.5291615,35.83525658,90.44
128.5446603,35.83512284,89.15
128.5402438,35.83606273,88.87
128.5446721,35.83602431,87.44
128.5468744,35.83510358,85.95
128.538018,35.8351804,83.77
128.533578,35.8343171,81.78
128.5368523,35.83068262,81.58
128.5346851,35.83430758,79.74
128.5380297,35.83608187,75.15
128.5335547,35.83251417,71.61
128.540185,35.83155539,65.13
128.5423754,35.82973327,64.72
128.5379593,35.83067306,62.15
128.5391368,35.8360723,61.29
