osmid,highway,lanes,maxspeed,name,oneway,ref,reversed,length,bridge,access,tunnel
469046211,secondary,,,성지로,False,,True,64.71285891351724,,,
469046212,secondary,,,성지로,False,,False,60.465583668043166,,,
"[469045194, 32836586]",residential,,,성지로,False,,"[False, True]",503.1618695631423,,,
469046213,secondary,,,성지로,False,,False,106.39064750415562,,,
469046213,secondary,,,성지로,False,,True,156.6422690498987,,,
498569996,residential,,,성지로18길,False,,True,52.909558487072125,,,
32836588,tertiary,,,선원남로,False,,True,506.64966503126175,,,
32500426,secondary,,,성서로,False,,False,111.10565887106497,,,
32500426,secondary,,,성서로,False,,True,195.56017435902808,,,
32836588,tertiary,,,선원남로,False,,False,145.59229283922772,,,
"[471478362, 37741141]",tertiary,,,선원남로,False,,False,677.538020647776,,,
469021209,residential,,,이곡서로,False,,False,84.0468620727869,,,
469022213,residential,,,이곡동로,False,,False,79.6085279590419,,,
671853521,secondary,,,성서로,False,,False,179.75125840437036,,,
671853521,secondary,,,성서로,False,,True,143.46460932873086,,,
32836583,secondary,,,성서동로,False,,True,198.09621104597858,,,
32836583,secondary,,,성서동로,False,,False,212.77973956485312,,,
32836588,tertiary,,,선원남로,False,,False,506.64966503126175,,,
32836588,tertiary,,,선원남로,False,,True,488.59238581007276,,,
886197441,secondary,,,달서대로,True,10,False,73.83812787781814,,,
1087527724,tertiary,,,월배로5길,False,,True,17.274370042677933,,,
"[510108668, 120124854]",primary,3,60,"['월배로', '비슬로']",True,5;26,False,23.640957549883673,,,
519222068,secondary,5,,달서대로,True,10,False,89.64031020560859,,,
32836949,secondary,,,달서대로58길,False,,True,252.33140814553806,,,
469042046,secondary,,,성서로,False,,True,317.49692947457845,,,
720388407,secondary,,,성서동로,False,,False,195.4463520285214,,,
469042046,secondary,,,성서로,False,,False,626.5178470498272,,,
157218102,trunk,2,,앞산순환로,True,22,False,62.7168329319975,,,
285226196,tertiary,,,,True,,False,28.50626033125677,,,
"[549193080, 549193085, 1036834685]",trunk,2,,앞산순환로,True,22,False,647.3031891084615,yes,,
238568542,trunk,2,,,True,,False,138.66705582120682,,,
549193078,trunk,2,,앞산순환로,True,22,False,163.69777444973195,,,
238568541,secondary,2,,상화로,True,10,False,383.6679290295117,,,
1087539512,secondary,5,,상화로,True,10,False,132.81164728710814,,,
468682405,residential,,,상화로8길,False,,False,280.78204680505206,,,
1087539512,secondary,5,,상화로,True,10,False,114.99516518065278,,,
510108695,secondary,5,,상화로,True,10,False,20.16484195470844,,,
520472806,secondary,3,,한실로,True,,False,424.50422044931406,,,
549193067,secondary,5,,상화로,True,10,False,42.395748004121494,,,
549193068,secondary,,,월곡로,False,,True,33.028627659733296,,,
549193068,secondary,,,월곡로,False,,False,58.86475951650045,,,
1087533693,secondary,5,,상화로,True,10,False,30.958420438816038,,,
732280117,residential,,,상화로19길,False,,True,18.80953760825453,,,
1087533693,secondary,5,,상화로,True,10,False,91.91301333696258,,,
375569990,residential,,,상화로15길,False,,True,24.6020854117729,,,
33920666,secondary,,,송현로,False,,False,19.453356649057536,,,
119731905,secondary,,,,True,,False,326.7174268397829,,,
109053920,residential,,,월배로65길,False,,False,56.16052258660414,,,
666992606,secondary,,,송현로,False,,False,76.71284104567974,,,
666992606,secondary,,,송현로,False,,True,54.65896042322031,,,
109053914,residential,,,월배로69길,False,,False,69.08703225857401,,,
471356923,residential,,,,False,,False,67.87828814215217,,,
