u,v,key,osmid,highway,lanes,maxspeed,name,oneway,ref,reversed,length,geometry,bridge,access,tunnel
368670297,1744953930,0,35971252,residential,,,와룡로53길,False,,False,37.00785370875652,"LINESTRING (128.5340741 35.8567967, 128.5336635 35.8568015)",,,
368670297,1744953680,0,35971252,residential,,,와룡로53길,False,,True,158.58573453611842,"LINESTRING (128.5340741 35.8567967, 128.5358337 35.8567829)",,,
368670297,1744953901,0,162627604,residential,,,와룡로51길,False,,False,135.24947058425312,"LINESTRING (128.5340741 35.8567967, 128.5340525 35.8555805)",,,
368907602,1249618660,0,109053920,residential,,,월배로65길,False,,False,75.73385911816843,"LINESTRING (128.5457702 35.825242, 128.5464508 35.8248428)",,,
368907602,2889129917,0,109053920,residential,,,월배로65길,False,,True,42.11301421982355,"LINESTRING (128.5457702 35.825242, 128.5453032 35.82525)",,,
368907602,4684414342,0,471372175,residential,,,월배로65안길,False,,True,90.51113602562322,"LINESTRING (128.5457702 35.825242, 128.5463309 35.8259172)",,,
369753382,1695480629,0,37402488,secondary,,,장기로,False,,True,29.404010591332593,"LINESTRING (128.5559697 35.8421831, 128.5561207 35.8419487)",,,
369753382,1499549856,0,32813934,residential,,,장기로10길,False,,False,588.9357417573473,"LINESTRING (128.5559697 35.8421831, 128.5558615 35.8429301, 128.5558355 35.8437722, 128.5558392 35.8441142, 128.5558215 35.8442287, 128.5557718 35.8443553, 128.555671 35.8444344, 128.5549575 35.8447823, 128.5548069 35.8448686, 128.5545391 35.8448946, 128.5542759 35.8448641, 128.5536611 35.8448116, 128.5531175 35.8449432, 128.5521974 35.8451658)",,,
369753382,1695480779,0,37402488,secondary,,,장기로,False,,False,133.38445622794205,"LINESTRING (128.5559697 35.8421831, 128.55549 35.84274, 128.5548789 35.8428992)",,,
369753441,1695486037,0,157338320,secondary,,,야외음악당로,False,,False,36.88712727860289,"LINESTRING (128.5579992 35.8541862, 128.5583376 35.8543728)",,,
