osmid,위도,경도,street_count,highway,junction,ref,railway,convenience_store_count,cctv_count,police_count,lighting_count
436853083,35.8556187,128.5226276,3,,,,,0,0,0,12
436853084,35.8582861,128.5236554,3,,,,,0,1,0,11
436853085,35.8588135,128.5238595,4,,,,,0,4,0,83
436854343,35.8606826,128.5243846,3,,,,,0,0,0,7
436855198,35.8592029,128.4999303,3,,,,,0,1,0,10
436855200,35.859302,128.495907,3,,,,,0,0,0,10
436855721,35.8304035,128.4920454,4,,,,,0,0,0,5
436855722,35.83047,128.49998,4,,,,,0,0,0,7
436855723,35.83042,128.50474,4,,,,,0,0,0,5
436855724,35.8304,128.50973,4,,,,,0,0,0,6
436855725,35.8304,128.51406,4,,,,,0,0,0,6
436855736,35.8444446,128.4725096,3,,,,,0,0,0,8
436859804,35.8587764,128.5332796,4,,yes,,,0,1,0,6
436860729,35.85052,128.55314,3,,,,,0,3,0,7
436863908,35.8459119,128.5444471,3,,,,,0,0,0,7
436863909,35.8461189,128.5423163,4,,,,,1,1,0,9
436863910,35.84618,128.53923,4,,,,,0,0,0,9
436863911,35.8461913,128.5371481,3,,,,,1,0,0,9
436863947,35.83509,128.53693,4,,,,,0,0,0,11
436863949,35.83929,128.53693,4,,,,,0,0,0,6
436864584,35.8540463,128.5306187,4,,,,,0,0,0,9
436864586,35.8602994,128.5306306,4,,,,,0,1,0,8
436864590,35.85402,128.52584,3,,,,,1,0,0,8
436864595,35.8575732,128.5306498,3,,,,,0,0,0,10
436864596,35.85882,128.5274,3,,,,,0,0,0,9
436866120,35.8484359,128.4748984,3,,,,,0,0,0,6
436866121,35.8484167,128.4780861,4,,,,level_crossing,0,2,0,10
436866575,35.8261565,128.52979,4,,yes,,,0,0,0,11
436866577,35.83187,128.52441,4,,,,,0,0,0,8
436866820,35.82993,128.52623,4,,,,,0,2,0,15
436866825,35.8312126,128.5354662,3,,,,,0,0,0,7
436868061,35.8554521,128.5022342,3,,,,,0,0,0,6
436869704,35.8396449,128.5586285,3,,,,,0,0,0,8
436869712,35.8434397,128.5488433,4,,,,,0,1,0,11
436869714,35.84354,128.53956,4,,,,,1,1,0,13
436872064,35.8266747,128.5562602,4,,,,,0,2,0,6
436872066,35.8275989,128.5546395,4,,,,,0,0,0,8
436872067,35.8281804,128.5535521,4,,,,,1,3,0,7
436872068,35.828843,128.5525444,4,,,,,1,3,0,7
436872069,35.8294643,128.5514488,4,,,,,0,2,0,8
436872071,35.8298856,128.5507551,4,,,,,0,0,0,5
436872072,35.8305668,128.5495987,3,,,,,0,2,0,9
436872073,35.8306773,128.5493881,3,,,,,0,1,0,9
436872075,35.8307087,128.5473382,4,,,,,0,1,0,11
436872077,35.8307637,128.5446238,3,,,,,0,0,0,9
436873008,35.8278904,128.5599551,3,,,,,0,1,0,10
436873011,35.83088,128.55595,3,,,,,1,0,0,8
436873014,35.83258,128.5553,3,,,,,0,1,0,5
436873542,35.819319,128.5214973,4,,,,,1,0,0,8
436873725,35.81097,128.52987,4,,,,,1,4,0,8
436873726,35.81191,128.53235,3,,,,,0,4,0,10
436873727,35.81168,128.53485,4,,,,,1,0,0,9
436873728,35.8115122,128.5363324,4,,,,,0,0,0,7
436877362,35.8543331,128.5702587,3,,,,,0,2,0,8
436877363,35.8557546,128.5674081,3,,,,,1,1,0,9
436878022,35.85882,128.5306255,4,,yes,,,0,0,0,8
436879301,35.8333464,128.5446368,3,,,,,0,0,0,7
436879302,35.8332544,128.5466619,3,,,,,0,0,1,7
436879303,35.8332403,128.5472951,4,,,,,0,2,0,7
436879304,35.8332183,128.5494441,3,,,,,0,0,0,8
436879307,35.8323204,128.5528337,3,,,,,1,0,0,11
436879315,35.8336186,128.5544261,4,,yes,,,0,0,0,7
436879317,35.8339513,128.5446739,4,,yes,,,0,0,0,10
436879318,35.8340117,128.5412471,3,,,,,0,4,0,5
436879324,35.82706,128.53116,3,,,,,0,2,0,5
436879328,35.82164,128.5183,4,,yes,,,0,0,0,10
436881270,35.8084618,128.5430991,3,,,,,0,0,0,8
436881271,35.8072521,128.5428059,3,,,,,0,3,0,7
436881275,35.8075784,128.5283847,4,,,,,0,2,0,8
436881278,35.8089001,128.5269853,3,,,,,0,0,0,11
436881593,35.8420384,128.4880937,4,,,,,0,0,0,9
436881597,35.8408823,128.485815,3,,,,,0,0,0,7
436881598,35.8408607,128.4818293,4,,,,,0,0,0,9
436881606,35.84444,128.47343,3,,,,,0,0,0,7
436881607,35.8396739,128.4919266,3,,,,,0,0,0,6
436881610,35.83966,128.47808,3,,,,,0,0,0,7
436881611,35.839666,128.4755569,3,,,,,0,0,0,3
436881613,35.8372425,128.4881108,4,,,,,0,0,0,8
436881622,35.8444954,128.4918949,4,,,,,0,0,0,6
436881628,35.84201,128.47807,4,,,,,0,0,0,9
436881631,35.849759,128.4780724,4,,,,,0,2,0,11
436881632,35.853214,128.4780779,4,,,,,0,3,0,9
675640811,35.8408513,128.4780704,4,,,,,0,0,0,6
700951084,35.860306,128.5274022,3,,,,,2,4,0,10
701003661,35.8601719,128.525186,3,,,,,0,0,0,8
701003670,35.8645071,128.5266958,3,,,,,0,0,0,12
701003694,35.8620357,128.5241299,3,,,,,0,1,0,7
718946288,35.8221984,128.5479468,3,,,,,0,0,0,4
718961143,35.8229047,128.5533819,3,,,,,0,3,0,15
718961167,35.8226384,128.5533161,3,,,,,0,3,0,15
718973801,35.8202516,128.5512378,4,,,,,0,4,0,50
718986379,35.8255494,128.5470749,3,,,,,0,0,0,7
718986381,35.8222441,128.5528105,3,,,,,0,0,0,11
765818847,35.8141989,128.5487048,3,,,,,0,0,0,6
765818859,35.8139348,128.5483235,3,,,,,0,0,0,7
811006074,35.8396878,128.5281898,3,,,,,0,0,0,11
811047134,35.8372947,128.5292818,3,,,,,0,2,0,5
860825820,35.8372686,128.5298961,3,,,,,0,2,0,7
860825824,35.8367615,128.5241037,3,,,,,0,1,0,4
961534921,35.8356727,128.5271711,3,,,,,0,0,0,3
961534924,35.8370691,128.5267142,3,,,,,0,0,0,5
1022613386,35.8386441,128.5273294,3,,,,,0,0,0,6
1022613394,35.8271202,128.5181041,3,,,,,0,3,0,3
1022613411,35.8343594,128.5251975,3,,,,,0,0,0,2
1022613537,35.8345287,128.5252407,3,,,,,0,0,0,2
1022613669,35.84011,128.52764,3,motorway_junction,,6,,0,0,0,14
1105686705,35.8445041,128.5250043,3,,,,,0,0,0,2
1105686730,35.8509357,128.5372376,3,,,,,0,0,0,8
1105686732,35.8488689,128.521926,3,motorway_junction,,7B,,0,0,0,4
1105686734,35.8508248,128.5372252,3,,,,,0,0,0,9
1105686736,35.8500681,128.536413,3,,,,,0,0,0,4
1105686746,35.8506572,128.5383371,3,,,,,0,0,0,7
1105686766,35.8499005,128.5363059,3,,,,,0,0,0,6
1105686767,35.8493597,128.5372215,4,,,,,0,0,0,9
1249618647,35.8264952,128.5439228,3,,,,,1,0,0,9
1249618650,35.8292193,128.547384,4,,,,,0,2,0,9
1249618651,35.8312288,128.551892,4,,,,,0,0,0,7
1249618652,35.8301239,128.5473287,4,,,,,0,1,0,10
1249618654,35.8300909,128.5486739,3,,,,,0,1,0,9
1249618655,35.8319666,128.5472702,4,,,,,0,1,0,6
1249618657,35.8275215,128.5457646,4,,,,,1,2,0,8
1249618659,35.828421,128.548485,4,,,,,1,1,0,7
1249618660,35.8248428,128.5464508,3,,,,,1,0,0,5
1249618661,35.8338759,128.5473017,3,,,,,0,1,0,7
1249618662,35.829346,128.5443855,3,,,,,0,2,0,9
1249618664,35.8288883,128.5480568,4,,,,,1,2,0,8
1249618669,35.8291397,128.5491583,3,,,,,0,4,0,11
1249618670,35.8295989,128.5473006,3,,,,,0,2,0,10
1249618671,35.8319042,128.5506579,3,,,,,1,0,0,7
1344279258,35.8278763,128.5604019,3,,,,,0,0,0,18
1344279486,35.8084472,128.5573339,4,,,,,0,0,0,10
1347469637,35.8369385,128.5263786,3,,,,,0,0,0,7
1347475084,35.8369822,128.5251784,3,,,,,0,0,0,8
1499549856,35.8451658,128.5521974,3,,,,,0,0,0,8
1499549864,35.8466357,128.551582,3,,,,,1,4,0,6
1499549866,35.8474831,128.5520619,3,,,,,0,0,0,6
1499549941,35.8550638,128.5596385,4,,,,,1,0,0,9
1668528057,35.8443427,128.5258074,3,motorway_junction,,7,,0,0,0,2
1668528060,35.845981,128.5246166,3,,,,,0,0,0,8
1668528065,35.8460072,128.523302,3,,,,,0,0,0,9
1668528105,35.8483423,128.5251127,3,,,,,0,0,0,7
1668528108,35.848496,128.5243882,3,,,,,0,0,0,12
1668528109,35.8485511,128.5262181,3,,,,,0,0,0,6
1668586224,35.8472278,128.5223109,3,,,,,0,3,0,8
1668586282,35.8486033,128.5226223,3,,,,,0,0,0,2
1668586297,35.8488119,128.526287,4,,,,,0,0,0,7
1668586313,35.8489076,128.5250662,3,,,,,0,0,0,13
1668586359,35.8493248,128.5233536,3,,,,,0,0,0,7
1668586376,35.8493712,128.5224489,3,,,,,0,0,0,15
1668586425,35.8498902,128.52089,3,,,,,0,0,0,9
1668586428,35.8503828,128.5202314,3,,,,,0,0,0,8
1668586436,35.8512156,128.5220613,3,,,,,0,0,0,5
1668608467,35.8369692,128.5287067,3,,,,,0,0,0,8
1668626415,35.8538768,128.5222746,3,motorway_junction,,7A,,0,0,0,9
1694388130,35.8281843,128.5595251,3,,,,,0,6,0,8
1695480041,35.8386468,128.5556361,3,,,,,0,1,0,7
1695480049,35.8388549,128.5515104,4,,,,,0,3,0,8
1695480058,35.8390382,128.5535917,4,,,,,0,0,0,11
1695480069,35.8390598,128.5546546,3,,,,,0,2,0,7
1695480080,35.8390641,128.5528482,3,,,,,0,2,0,13
1695480092,35.8391207,128.5508399,4,,,,,0,0,0,8
1695480099,35.8394646,128.5467854,4,,,,,0,2,0,8
1695480141,35.8396793,128.5567313,3,,,,,0,3,0,8
1695480149,35.8397545,128.555679,4,,,,,0,0,0,7
1695480157,35.8398032,128.5550288,4,,,,,0,1,0,8
1695480163,35.8398282,128.5536117,3,,,,,0,3,0,8
1695480171,35.8399454,128.5528579,3,,,,,0,1,0,7
1695480185,35.8399592,128.5521455,3,,,,,0,1,0,14
1695480200,35.839971,128.5515322,4,,,,,0,1,0,11
1695480215,35.8399842,128.5508503,4,,,,,0,0,0,9
1695480235,35.8399973,128.5501726,4,,,,,0,3,0,10
1695480247,35.8400101,128.5495144,3,,,,,0,0,0,9
1695480255,35.8400137,128.5488008,3,,,,,0,1,0,9
1695480276,35.8402331,128.5572815,3,,,,,0,0,0,6
1695480287,35.8402772,128.556709,3,,,,,0,5,0,11
1695480317,35.8404227,128.5550341,4,,,,,0,1,0,8
1695480325,35.8404283,128.554328,3,,,,,0,0,0,7
1695480334,35.8404312,128.5556454,4,,,,,0,1,0,8
1695480343,35.8404338,128.553627,3,,,,,0,1,0,8
1695480350,35.8404399,128.5528633,3,,,,,0,0,0,7
1695480358,35.8406776,128.5394884,4,,,,,0,0,0,8
1695480369,35.8407185,128.5448127,3,,,,,1,0,0,5
1695480401,35.8409909,128.5550487,3,,,,,0,0,0,11
1695480409,35.8409975,128.5561315,3,,,,,1,1,0,10
1695480417,35.8410552,128.5521678,3,,,,,0,2,0,11
1695480426,35.8410598,128.5515535,4,,,,,0,2,0,13
1695480437,35.841065,128.5508637,3,,,,,0,0,0,14
1695480448,35.8410699,128.5501949,4,,,,,0,0,0,14
1695480459,35.8410747,128.549559,3,,,,,1,1,0,14
1695480468,35.84107,128.5488139,4,,,,,1,1,0,9
1695480483,35.841398,128.5564753,3,,,,,1,0,0,6
1695480494,35.8415652,128.5563676,3,,,,,0,0,0,6
1695480505,35.8415754,128.5550638,4,,,,,0,1,0,5
1695480516,35.841581,128.5543438,3,,,,,0,0,0,11
1695480527,35.8415866,128.553627,3,,,,,0,1,0,5
1695480535,35.8415776,128.5488202,3,,,,,1,1,0,11
1695480542,35.8415924,128.5528723,4,,,,,1,0,0,5
1695480551,35.8415947,128.5495296,3,,,,,0,0,0,13
1695480562,35.8415979,128.5521678,3,,,,,0,0,0,13
1695480581,35.8416026,128.5515641,4,,,,,0,2,0,11
1695480600,35.8416078,128.5508967,3,,,,,0,0,0,9
1695480607,35.8416684,128.5394591,3,,,,,1,3,0,5
1695480618,35.8417297,128.5373952,3,,,,,0,0,0,8
1695480629,35.8419487,128.5561207,3,,,,,0,3,0,7
1695480637,35.8420274,128.5394785,3,,,,,0,3,0,7
1695480687,35.8421517,128.5370184,3,,,,,0,0,0,5
1695480698,35.8422014,128.5550799,3,,,,,0,1,0,6
1695480708,35.8425465,128.5536588,3,,,,,0,4,0,10
1695480715,35.8427487,128.5528772,3,,,,,0,4,0,9
1695480723,35.8427536,128.5521823,3,,,,,0,0,0,10
1695480744,35.8427517,128.5509037,4,,,,,0,2,0,18
1695480752,35.8427527,128.55023,3,,,,,0,2,0,10
1695480759,35.8427537,128.5495517,3,,,,,0,1,0,7
1695480767,35.8427445,128.5488347,3,,,,,0,0,0,5
1695480779,35.8428992,128.5548789,3,,,,,0,1,0,12
1695480801,35.8432114,128.5536808,3,,,,,0,1,0,12
1695480805,35.8434346,128.5509078,4,,,,,0,1,0,13
1695480806,35.8434591,128.5479251,3,,,,,0,0,0,25
1695480807,35.8434706,128.5467772,4,,,,,0,0,0,10
1695480808,35.8435216,128.5415072,4,,,,,0,0,0,6
1695480817,35.8435651,128.5370638,4,,yes,,,1,0,0,8
1695481076,35.8440601,128.551806,3,,,,,0,1,0,8
1695481094,35.8440692,128.5509117,3,,,,,0,1,0,6
1695481103,35.8440837,128.5494957,3,,,,,0,2,0,2
1695481117,35.8440801,128.5488502,4,,,,,0,2,0,12
1695481131,35.8440972,128.5481831,3,,,,,0,1,0,7
1695481142,35.8440996,128.5479463,3,,,,,0,1,0,2
1695481153,35.8441114,128.5467939,3,,,,,0,0,0,3
1695481327,35.8447573,128.5446648,3,,,,,0,0,0,8
1695481338,35.844764,128.5437149,3,,,,,1,3,0,7
1695481351,35.8447771,128.5418491,3,,,,,0,1,0,6
1695481362,35.8447794,128.5415289,3,,,,,0,1,0,11
1695481372,35.8447898,128.5400467,3,,,,,0,3,0,10
1695481383,35.8447929,128.5396061,3,,,,,0,1,0,11
1695481394,35.8448022,128.5382829,3,,,,,0,3,0,5
1695481408,35.8448058,128.5379718,3,,,,,0,3,0,4
1695481419,35.8448105,128.5371038,3,,,,,0,0,0,9
1695481464,35.8449457,128.544031,1,,,,,0,3,0,10
1695481508,35.8451452,128.5513527,4,,,,,0,1,0,8
1695481509,35.8451558,128.5495251,4,,,,,0,1,0,7
1695481510,35.8451493,128.5488617,4,,,,,0,1,0,8
1695481511,35.8451635,128.5481729,3,,,,,0,1,0,5
1695481512,35.8451714,128.5468064,4,,,,,1,1,0,5
1695481513,35.8451801,128.5453004,3,,,,,0,3,0,5
1695481521,35.8451821,128.5449474,3,,,,,0,3,0,7
1695481532,35.8451841,128.5446059,3,,,,,0,0,0,9
1695481617,35.845386,128.5520906,3,,,,,0,1,0,10
