osmid,y,x,street_count,highway,junction,ref,railway,geometry,convenience_store_count,cctv_count,police_count,lighting_count,population,safety_score
436802856,35.84446,128.4818,3,,,,,POINT (128.4818 35.84446),0.0,0.0,0.0,0.04929577464788733,0.002245244074735766,0.010195941540787831
436802863,35.8521544,128.5306391,3,,,,,POINT (128.5306391 35.8521544),0.0,0.0,0.0,0.04929577464788733,0.07158449677370035,0.020596829445632518
436802865,35.8521196,128.5284485,4,,,,,POINT (128.5284485 35.8521196),0.0,0.07142857142857142,0.0,0.056338028169014086,0.15300644693664336,0.05207571553144218
436802867,35.8501453,128.5285037,3,,,,,POINT (128.5285037 35.8501453),0.0,0.14285714285714285,0.0,0.035211267605633804,0.13471464448414597,0.06296373590803438
436802900,35.8092126,128.5268304,3,,,,,POINT (128.5268304 35.8092126),0.0,0.0,0.0,0.08450704225352113,0.01625890806957142,0.01934024466113994
436803068,35.8411338,128.5158465,3,,,,,POINT (128.5158465 35.8411338),0.0,0.14285714285714285,0.0,0.035211267605633804,0.0008975313640494803,0.0428911689400199
436803069,35.84114,128.51252,3,,,,,POINT (128.51252 35.84114),0.0,0.07142857142857142,0.0,0.04225352112676056,0.00810043291023837,0.02752291201903073
436803252,35.83966,128.48187,3,,,,,POINT (128.48187 35.83966),0.0,0.0,0.0,0.04225352112676056,0.002245244074735766,0.00878749083656248
436803253,35.84202,128.48179,4,,,,,POINT (128.48179 35.84202),0.0,0.0,0.0,0.056338028169014086,0.002245244074735766,0.011604392245013183
436803381,35.83998,128.5073882,4,,,,,POINT (128.5073882 35.83998),0.0,0.0,0.0,0.035211267605633804,0.0046745245490400385,0.007743432203482768
436803382,35.84,128.5106,4,,,,,POINT (128.5106 35.84),0.0,0.0,0.0,0.02112676056338028,0.005833953866321622,0.0051004451926243005
436803383,35.84002,128.51252,3,,,,,POINT (128.51252 35.84002),0.0,0.0,0.0,0.0,0.0022678947085288128,0.0003401842062793219
436803386,35.8432,128.47347,3,,,,,POINT (128.47347 35.8432),0.0,0.0,0.0,0.04225352112676056,0.002245244074735766,0.00878749083656248
436803389,35.84444,128.47485,4,,,,,POINT (128.47485 35.84444),0.0,0.0,0.0,0.07042253521126761,0.002245244074735766,0.014421293653463889
436806072,35.8307495,128.5192407,4,,,,,POINT (128.5192407 35.8307495),0.0,0.0,0.0,0.04929577464788733,0.026700850248166003,0.013864282466802366
436806074,35.8330194,128.5159007,4,,,,,POINT (128.5159007 35.8330194),0.5,0.0,0.0,0.04225352112676056,0.011655166751134654,0.0851989792380223
436806531,35.84153,128.51057,3,,,,,POINT (128.51057 35.84153),0.0,0.0,0.0,0.02112676056338028,0.002784612291932694,0.004643043956465961
436806533,35.8415396,128.5073598,4,,,,,POINT (128.5073598 35.8415396),0.0,0.0,0.0,0.035211267605633804,0.003035184928268274,0.007497531260367002
436810335,35.8352775,128.4999704,4,,,,,POINT (128.4999704 35.8352775),0.0,0.0,0.0,0.04225352112676056,0.009946459564371686,0.009942673160007867
436810338,35.8447622,128.4998812,4,,,,,POINT (128.4998812 35.8447622),0.0,0.0,0.0,0.035211267605633804,0.004480578497187074,0.007714340295704823
436810340,35.8397114,128.4999274,4,,,,,POINT (128.4999274 35.8397114),0.0,0.0,0.0,0.035211267605633804,0.00506383231735803,0.0078018283687304665
436810345,35.8354249,128.5039276,3,,,,,POINT (128.5039276 35.8354249),0.0,0.0,0.0,0.028169014084507043,0.002573678264734945,0.006019854556611651
436810351,35.84487,128.50223,3,,,,,POINT (128.50223 35.84487),0.0,0.0,0.0,0.02112676056338028,0.0008578927549116485,0.004354036025912804
436810354,35.8473296,128.5073363,4,,,,,POINT (128.5073363 35.8473296),0.0,0.0,0.0,0.07746478873239437,0.01021118884682792,0.017024636073503064
436810361,35.84734,128.51109,4,,,,,POINT (128.51109 35.84734),0.0,0.0,0.0,0.028169014084507043,0.002678437446027787,0.006035568433805576
436810412,35.8459713,128.503616,3,,,,,POINT (128.503616 35.8459713),0.0,0.0,0.0,0.0,0.0017610867774093906,0.0002641630166114086
436810415,35.8472813,128.503616,4,,,,,POINT (128.503616 35.8472813),0.0,0.0,0.0,0.0,0.0036170230838271644,0.0005425534625740746
436810420,35.8519304,128.5036414,3,,,,,POINT (128.5036414 35.8519304),0.0,0.0,0.0,0.035211267605633804,0.04481003196570694,0.013763758315982803
436810427,35.84725,128.4998,3,,,,,POINT (128.4998 35.84725),0.0,0.0,0.0,0.014084507042253521,0.002286298348485664,0.003159846160723554
436810752,35.831409,128.5338834,3,,,,,POINT (128.5338834 35.831409),0.0,0.2857142857142857,0.0,0.035211267605633804,0.06910283670874966,0.08883625045601064
436810753,35.8354799,128.5338687,4,,,,,POINT (128.5338687 35.8354799),0.5,0.21428571428571427,0.0,0.04225352112676056,0.019941051725553594,0.1400132905556137
436810859,35.8287831,128.532955,3,,,,,POINT (128.532955 35.8287831),0.0,0.0,0.0,0.056338028169014086,0.012166221676090274,0.01309253888521636
436810863,35.8313666,128.5312471,4,,,,,POINT (128.5312471 35.8313666),0.5,0.07142857142857142,0.0,0.08450704225352113,0.051145131104699725,0.11743032097355205
436814808,35.8520321,128.5250955,3,,,,,POINT (128.5250955 35.8520321),0.5,0.0,0.0,0.04929577464788733,0.03250649082224632,0.0897351285529144
436814809,35.8539981,128.5245135,3,,,,,POINT (128.5245135 35.8539981),0.5,0.0,0.0,0.04225352112676056,0.07067847142197847,0.09405247493864888
436819148,35.84941,128.51031,3,,,,,POINT (128.51031 35.84941),0.0,0.07142857142857142,0.0,0.04929577464788733,0.00625865324994125,0.02865509577421151
436819149,35.8494202,128.5145709,3,,,,,POINT (128.5145709 35.8494202),0.5,0.07142857142857142,0.0,0.04929577464788733,0.07517886922373446,0.1139931281702805
436819151,35.84975,128.51582,3,,,,,POINT (128.51582 35.84975),0.5,0.0,0.0,0.07746478873239437,0.15234391589819674,0.11334454513120838
436819334,35.83967,128.49036,4,,,,,POINT (128.49036 35.83967),0.0,0.0,0.0,0.06338028169014084,0.030180553864622824,0.017203139417721593
436819338,35.8445,128.49036,3,,,,,POINT (128.49036 35.8445),0.0,0.0,0.0,0.04929577464788733,0.030180553864622824,0.014386238009270889
436819342,35.83968,128.48808,4,,,,,POINT (128.48808 35.83968),0.5,0.0,0.0,0.07042253521126761,0.033708390077889866,0.094140765553937
436819346,35.84448,128.48808,3,,,,,POINT (128.48808 35.84448),0.0,0.0,0.0,0.04929577464788733,0.033708390077889866,0.014915413441260945
436819350,35.83496,128.48583,3,,,,,POINT (128.48583 35.83496),0.0,0.0,0.0,0.06338028169014084,0.00436732532822184,0.013331155137261446
436819356,35.8420264,128.4858203,4,,,,,POINT (128.4858203 35.8420264),0.0,0.0,0.0,0.06338028169014084,0.00436732532822184,0.013331155137261446
436819358,35.8444435,128.4858266,4,,,,,POINT (128.4858266 35.8444435),0.0,0.0,0.0,0.07746478873239437,0.00436732532822184,0.01614805654571215
